DVEntry | 336 Gems (on the ground) | True_()
CSTree | 15 Gems ([enemy] red plant past sinking platforms) | And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
CSTree | 25 Gems (metal chest behind chargeable stump) | Has('Charge')
CSTree | 50 Gems (baskets in stump) | HasAny('Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CSTree | 25 Gems ([enemy] normal crocovile above poles outside tree) | And(Has('Pole Spin'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
CSTree | 25 Gems (metal chest above poles outside tree) | And(Has('Pole Spin'), HasAny('Double Jump', 'Charge', 'Electric Breath'))
CSTree | 30 Gems (headbash chest above poles outside tree) | HasAll('Pole Spin', 'Double Jump')
CSTree | 75 Gems (spider web baskets above Blink's poles) | HasAll('Fire Breath', 'Pole Spin')
CSTree | 500 Gems (armored chest via firework in tree) | HasAll('Double Jump', 'Pole Spin', 'Fire Breath')
CSTree | 1003 Gems (Blink minigames 1-1) | True_()
CSTree | 928 Gems (Blink minigames 1-2) | True_()
CSAboveElder | 105 Gems (metal chests/headbash chest) | True_()
CSAboveElder | 500 Gems (armored chest via firework at top of tree) | Has('Fire Breath')
DFBallGadget | 896 Gems (on ball gadget path) | True_()
DFEntry | 25 Gems ([enemy] normal crocovile by entry area) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFSteepCanyon | 25 Gems ([enemy] normal crocovile by chest above entry) | And(Has('Glide'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
DFSteepCanyon | 250 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
DFSteepCanyon | 125 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
DFSteepCanyon | 90 Gems (headbash chests) | Has('Double Jump')
DFSteepCanyon | 75 Gems ([enemy] rams) | HasAny('Fire Breath', 'Electric Breath')
DFSteepCanyon | 100 Gems ([enemy] shepherd and normal crocoviles) | HasAny('Fire Breach', 'Electric Breath', 'Charge')
DFSteepCanyon | 1064 Gems (on the ground and breakables behind chargeable walls) | Has('Charge')
DFSteepCanyon | 60 Gems (headbash chests behind chargeable walls) | HasAll('Charge', 'Double Jump')
DFSteepCanyon | 25 Gems ([enemy] normal crocovile by cannon) | And(HasAll('Double Jump', 'Glide'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
DFSteepCanyon | 169 Gems (on the ground) | True_()
DFSteepCanyon | 15 Gems ([enemy] red plant) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DFSteepCanyon | 20 Gems ([enemy] armored huge gnorc in second canyon area) | And(HasAll('Double Jump', 'Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFSteepCanyon | 180 Gems (baskets and metal and headbash chests in second canyon area) | Has('Double Jump')
DFSteepCanyon | 20 Gems ([enemy] unarmored huge gnorc in second canyon area) | And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
DFAfterVultures | 19 Gems (on the ground) | True_()
DFAfterVultures | 25 Gems ([enemy] normal crocovile) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFElderStatue | 223 Gems (baskets/metal chests/on the ground) | True_()
DFElderStatue | 95 Gems ([enemy] normal and boomerang crocoviles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFElderStatue | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DFElderStatue | 675 Gems (Sparx minigames 1-1) | True_()
DFElderStatue | 700 Gems (Sparx minigames 1-2) | True_()
DFCoveAboveShop | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFCoveAboveShop | 125 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
DFCoveAboveShop | 25 Gems (metal chest behind chargeable wall) | Has('Charge')
DFCoveShop | 25 Gems ([enemy] normal crocovile) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFCove | 330 Gems (baskets/metal chests/headbash chest) | True_()
DFCove | 75 Gems ([enemy] normal crocoviles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFCove | 60 Gems ([enemy] armored huge gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFCove | 100 Gems (underwater vases near piranhas) | HasAll('Swim', 'Charge')
DFHunter | 1006 Gems (on the ground/baskets/headbash chests/metal chests) | True_()
DFHunter | 275 Gems ([enemy] archer gnorcs/unarmored huge gnorcs) | True_()
DFHunter | 118 Gems (on ground behind breakable walls using exploding arrows) | True_()
DFHunter | 50 Gems (metal chests using exploding arrows) | True_()
DFLGDoorEntry | 6 Gems (on the ground by upper entrance) | HasAll('Double Jump', 'Glide')
DFLGDoorEntry | 20 Gems ([enemy] unarmored huge gnorc at lowest level) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DFLGDoorEntry | 50 Gems (baskets at lowest level) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
DFLGDoorEntry | 20 Gems ([enemy] armored huge gnorc at lowest level) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFLGDoorEntry | 100 Gems (baskets and metal chest at middle level) | Has('Double Jump')
DFLGDoorEntry | 20 Gems ([enemy] armored huge gnorc at middle level) | And(HasAll('Charge', 'Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFLGDoorEntry | 40 Gems ([enemy] unarmored huge gnorcs at middle level) | And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
DFLGDoorShop | 33 Gems (on the ground) | True_()
DFLGDoorShop | 25 Gems (metal chest) | HasAny('Double Jump', 'Charge', 'Electric Breath')
DFLGDoorShop | 75 Gems (baskets above DJ ledges) | Has('Double Jump')
DFLGDoorShop | 75 Gems ([enemy] blue monkeys) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFLGDoorShop | 157 Gems (on the ground and metal chests behind chargeable wall) | Has('Charge')
DFLGDoorShop | 30 Gems (headbash chest behind chargeable wall) | HasAll('Charge', 'Double Jump')
CREntry | 668 Gems (on the ground) | True_()
CREntry | 600 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CREntry | 175 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
CREntry | 195 Gems (headbash chests) | Has('Double Jump')
CREntry | 375 Gems ([enemy] orange crabs and tiki men) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CREntry | 125 Gems ([enemy] blue crabs) | Or(Has('Electric Breath'), And(Has('Charge'), HasAny('Ice Breath', 'Double Jump')))
CREntry | 100 Gems (underwater vases in southern beach) | HasAll('Swim', 'Charge')
CREntry | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CREntry | 40 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRLGDoor | 244 Gems (on the ground) | True_()
CRLGDoor | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CRLGDoor | 125 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
CRLGDoor | 175 Gems (headbash chests/baskets and headbash chest up high) | Has('Double Jump')
CRLGDoor | 40 Gems ([enemy] archer gnorcs up high) | And(Has('Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
CRLGDoor | 20 Gems ([enemy] armored huge gnorc up high) | And(HasAll('Charge', 'Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRLGDoor | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRLGDoor | 40 Gems ([enemy] unarmored middle gnorc/archer gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRPiranhas | 303 Gems (baskets/headbash chests/on the ground) | True_()
CRPiranhas | 125 Gems ([enemy] tiki men) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRPiranhas | 50 Gems ([enemy] blue crabs) | Or(Has('Electric Breath'), HasAll('Charge', 'Ice Breath'))
CRWateryTomb | 100 Gems ([enemy] orange crabs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRCannon | 20 Gems ([enemy] unarmored huge gnorc by dark gem) | And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
CRCannon | 2020 Gems (armored chests by dark gem via cannon/and on the ground after reinforced door) | HasAll('Double Jump', 'Glide')
CRCannon | 1050 Gems (armored chests by dragon egg via cannon/and baskets by dragon egg) | HasAll('Double Jump', 'Glide', 'Pole Spin')
CRCannon | 125 Gems (underwater vases) | HasAll('Swim', 'Charge')
CRCannon | 150 Gems ([enemy] underwater clams) | HasAll('Swim', 'Charge')
CRWindmills | 525 Gems (on the ground/meatl chests/headbash chests) | True_()
CRWindmills | 25 Gems ([enemy] tiki men) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRCloudyElevator | 20 Gems ([enemy] armored huge gnorc by shop) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRCloudyElevator | 50 Gems (baskets by shop) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CRCloudyElevator | 20 Gems ([enemy] armored huge gnorc after electric platform) | HasAll('Electric Breath', 'Charge')
CRCloudyElevator | 388 Gems (on the ground/baskets/and metal chests after electric platform) | Has('Electric Breath')
CRCloudyElevator | 30 Gems (headbash chest after electric platform) | HasAll('Electric Breath', 'Double Jump')
CRCloudyElevator | 75 Gems ([enemy] blue crabs after electric platform) | Has('Electric Breath')
CROttoPool | 175 Gems ([enemy] orange crabs in pool) | And(HasAll('Double Jump', 'Pole Spin', 'Swim', 'Charge'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
CROttoPool | 75 Gems (metal chests in pool) | HasAll('Double Jump', 'Pole Spin', 'Swim', 'Charge')
CROttoPool | 115 Gems ([enemy] unarmored middle gnorcs/critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CROttoPool | 100 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CROttoPool | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CROttoPool | 54 Gems (on the ground) | True_()
CRWest | 60 Gems (headbash chests once pool is filled) | HasAll('Double Jump', 'Pole Spin')
CRWest | 250 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CRWest | 175 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
CRWest | 120 Gems ([enemy] archer gnorc/tiki men) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRWest | 268 Gems (on the ground heading to and at west beach) | True_()
CRWest | 755 Gems (Blink minigames 2-1) | True_()
CRWest | 1435 Gems (Blink minigames 2-2) | True_()
CRWest | 746 Gems (on the ground and breakables needing double jump) | Has('Double Jump')
CRWest | 80 Gems ([enemy] archer gnorcs past dark gem) | And(Has('Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
CRWest | 40 Gems ([enemy] unarmored huge gnorcs past dark gem) | And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
CRWest | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRWest | 125 Gems (underwater vases) | HasAll('Swim', 'Charge')
CRWest | 150 Gems ([enemy] underwater clams) | HasAll('Swim', 'Charge')
CDEntry | 7 Gems (on the ground) | True_()
CDEntry | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDEntry | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CDEntry | 25 Gems ([enemy] first balloon gnorc in southwest area) | HasAll('Charge', 'Double Jump', 'Wing Shield')
CDCenter | 40 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDCenter | 125 Gems ([enemy] flying middle and small gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDCenter | 180 Gems (headbash chest/metal chests/dark shards) | True_()
CDCenter | 1500 Gems (armored chests via supercharge next to Elder's house) | SuperchargeGadget()
CDOutsideElder | 100 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CDOutsideElder | 90 Gems (headbash purple things) | Has('Double Jump')
CDOutsideElder | 80 Gems (on the ground) | True_()
CDOutsideElder | 20 Gems ([enemy] armored middle gnorc) | Has('Charge')
CDOutsideElder | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDOutsideElder | 75 Gems (metal chests behind supercharge door) | SuperchargeGadget()
CDInsideElder | 25 Gems ([enemy] first balloon gnorc in tutorial) | HasAll('Double Jump', 'Wing Shield')
CDNorthEast | 75 Gems ([enemy] flying small gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDNorthEast | 75 Gems ([enemy] balloon gnorcs) | True_()
CDNorthWest | 100 Gems ([enemy] flying middle and small gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDNorthWest | 40 Gems ([enemy] armored and unarmored huge gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Ice Breath')
CDNorthWest | 755 Gems (on the ground/in the air/baskets/chests) | True_()
CDNorthWest | 500 Gems (armored chest via firework) | Has('Fire Breath')
CDSouthWest | 100 Gems ([enemy] balloon gnorcs) | True_()
CDSouthWest | 150 Gems ([enemy] flying middle and small gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDSouthWest | 85 Gems (on the ground/baskets/headbash chest) | True_()
CDEndlessPlatforms | 200 Gems ([enemy] flying middle and small gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDEndlessPlatforms | 505 Gems (in the air/basket/metal chest/headbash purple thing/dark shard) | True_()
CDEndlessPlatforms | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDTallestTowerUpper | 200 Gems (Byrd minigames 2-1) | True_()
CDTallestTowerUpper | 200 Gems (Byrd minigames 2-2) | True_()
CDTallestTowerUpper | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDTallestTowerUpper | 410 Gems (in the air/metal chests/dark shards/headbash purple thing) | True_()
CDTallestTowerUpper | 50 Gems ([enemy] flying small gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDBallGadget | 815 Gems (ball gadget minigame) | True_()
CDBallGadget | 500 Gems (armored chest via firework after ball gadget minigames) | Has('Fire Breath')
SREntry | 100 Gems (dark shards) | HasAny('Double Jump', 'Charge')
SREntry | 125 Gems ([enemy] critters/mer-gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SREntry | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
SREntry | 90 Gems (headbash chest) | Has('Double Jump')
SRSwim1 | 64 Gems (underwater floating and on the ground) | True_()
SRSwim1 | 125 Gems ([enemy] underwater mer-gnorc and clams) | Has('Charge')
SRSwim1 | 100 Gems (underwater vases) | Has('Charge')
SRSwim1 | 25 Gems ([enemy] mer-gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRSwim1 | 300 Gems (dark shards) | HasAny('Double Jump', 'Charge')
SRSwim1 | 397 Gems (on the ground/baskets/and headbash chest atop thermal) | HasAll('Double Jump', 'Glide')
SRSwim1 | 125 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
SRSwim1 | 1500 Gems (armored chests via firework atop thermal) | HasAll('Double Jump', 'Glide', 'Fire Breath')
SRSwim1 | 75 Gems (basket) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
SRSwim1 | 30 Gems (headbash chest) | Has('Double Jump')
SRSwim2 | 76 Gems (underwater floating) | True_()
SRSwim2 | 50 Gems ([enemy] underwater mer-gnorc) | Has('Charge')
SRSwim2 | 200 Gems (underwater vases) | Has('Charge')
SRAfterSwim2 | 50 Gems ([enemy] blue crabs) | Or(Has('Electric Breath'), And(Has('Charge'), HasAny('Ice Breath', 'Double Jump')))
SRAfterSwim2 | 25 Gems ([enemy] mer-gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRAfterSwim2 | 125 Gems (dark shards) | HasAny('Double Jump', 'Charge')
SRAfterSwim2 | 175 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
SRAfterSwim2 | 42 Gems (on the ground) | True_()
SRAfterSwim2 | 50 Gems (on ground and metal chest by light gem after acid swim) | And(InvincibilityGadget(), HasAll('Swim', 'Charge'))
SRDepthsEntry | 55 Gems (on the ground) | True_()
SRDepthsEntry | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
SRDepthsEntry | 100 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
SRDepthsEntry | 30 Gems (headbash chest) | Has('Double Jump')
SRDepthsEntry | 150 Gems (dark shards) | HasAny('Double Jump', 'Charge')
SRDepthsEntry | 900 Gems (Sparx minigames 2-1) | True_()
SRDepthsEntry | 800 Gems (Sparx minigames 2-2) | True_()
SRDepthsUpper | 50 Gems ([enemy] mer-gnorcs) | And(Has('Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
SRDepthsUpper | 1500 Gems (armored chests below via firework) | Has('Fire Breath')
SRDepthsLower | 300 Gems (dark shards) | HasAny('Double Jump', 'Charge')
SRDepthsLower | 275 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
SRDepthsLower | 120 Gems (headbash chests) | Has('Double Jump')
SRDepthsLower | 75 Gems ([enemy] critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRDepthsLower | 321 Gems (on the ground) | True_()
SRDepthsLower | 175 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
SRToxicSwim1 | 606 Gems (dark shards/baskets/chests/on the ground) | True_()
SRToxicSwim1 | 150 Gems (dark shards you can glide to in first room) | Has('Glide')
SRToxicSwim2 | 235 Gems (on the ground/chests/dark shard/baskets) | True_()
SRToxicSwimAbove | 513 Gems (dark shards/metal chests/on the ground/basket/headbash chest) | True_()
SRToxicSwimAbove | 1500 Gems (armored chests via firework atop puzzle) | Has('Fire Breath')
SRToxicRise | 46 Gems (on the ground before rising statue room) | True_()
SRToxicRise | 25 Gems ([enemy] mer-gnorc before rising statue room) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRToxicRise | 50 Gems (dark shard before rising statue room) | HasAny('Double Jump', 'Charge')
SRToxicRise | 30 Gems (headbash chest before rising statue room) | Has('Double Jump')
SRToxicRise | 1500 Gems (armored chests via firework on perimeter) | HasAll('Double Jump', 'Fire Breath')
SRToxicRise | 50 Gems (baskets on perimeter) | Has('Double Jump')
SRToxicRise | 50 Gems (dark shard before needing dj) | And(HasAll('Electric Breath', 'Pole Spin', 'Glide'), HasAny('Charge', 'Double Jump'))
SRToxicRise | 50 Gems (dark shard after needing dj) | HasAll('Electric Breath', 'Pole Spin', 'Glide', 'Double Jump')
SRReturnToStart | 250 Gems ([enemy] mer-gnorcs/orange crabs/blue crab) | True_()
SRReturnToStart | 342 Gems (metal chests/dark shards/on the ground/baskets) | True_()
FVEntry1 | 25 Gems (basket) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
FVEntry1 | 80 Gems (headbash chest and rocks) | Has('Double Jump')
FVElectricGate | 100 Gems (metal chests/baskets) | True_()
FVElectricGate | 20 Gems ([enemy] unarmored middle gnorc) | True_()
FVElectricGate | 170 Gems ([enemy] eskimoles under dark gem) | Has('Double Jump')
FVElectricGate | 125 Gems (baskets under dark gem) | Has('Double Jump')
FVElectricGate | 25 Gems ([enemy] eskimole under snowman by floating platform) | And(HasAll('Double Jump', 'Water Breath'), HasAny('Fire Breath', 'Charge'))
FVElectricGate | 130 Gems (metal chests and headbash chest and rocks after floating platform) | HasAll('Water Breath', 'Double Jump')
FVHeadingToCamp | 100 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVHeadingToCamp | 145 Gems ([enemy] eskimoles/unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVHeadingToCamp | 40 Gems ([enemy] armored middle gnorc) | Has('Charge')
FVHeadingToCamp | 1016 Gems (baskets/in the air/on the ground/shests and rocks/dark shards) | True_()
FVHeadingToCamp | 1906 Gems (Blink minigames 3-1) | True_()
FVHeadingToCamp | 1956 Gems (Blink minigames 3-2) | True_()
FVIcyCamp | 50 Gems (headbash rock) | Has('Double Jump')
FVIcyCamp | 50 Gems (2 baskets on ice) | HasAny('Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
FVIcyCamp | 35 Gems ([enemy] eskimoles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVIcyCamp | 50 Gems ([enemy] eskimoles on DJ ledge) | And(Has('Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
FVIcyCamp | 25 Gems (metal chest via wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge', 'Electric Breath'))
