START -> DVEntry | RealmAccessRule('Dragon Kingdom Access Card')
RLNorthEast2 -> RLNorthEast2Above | And(HasAll('Wall Kick', 'Double Jump', 'Pole Spin', 'Glide'), InvincibilityGadget())
RLNorthEast2 -> RLNorthEast3 | True_()
RLNorthEast4 -> RLNorthEast3 | Has('Double Jump')
RLNorthEast3 -> RLNorthEast4 | Has('Double Jump')
ShopPads -> RLNorthEast4 | OpenWorldRule(['Red\'s Laboratory - Pre-production'])
RLNorthEast4 -> ShopPads | True_()
RLCenter -> RLNorthWest1 | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLNorthWest1 -> RLNorthWest2 | HasAll('Double Jump', 'Glide')
ShopPads -> RLNorthWest2 | OpenWorldRule(['Red\'s Laboratory - Mechanical Mishaps'])
RLNorthWest2 -> ShopPads | True_()
RLCenter -> RLSouthEast1 | Has('Charge')
RLSouthEast1 -> RLSouthEast2 | And(HasAll('Double Jump', 'Pole Spin', 'Glide'), Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge')))
RLSouthEast3 -> RLSouthEast2 | Or(HasAny('Double Jump', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLSouthEast2 -> RLSouthEast3 | True_()
ShopPads -> RLSouthEast3 | OpenWorldRule(['Red\'s Laboratory - Laser Leaps'])
RLSouthEast3 -> ShopPads | True_()
