DVEntry | 150 Gems (chargeable wall near Elder) | Has('Charge')
CDWingShield | 40 Gems (huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDWingShield | 400 Gems (Byrd minigames) | True_()
CDWingShield | 1225 Gems (immediates) | True_()
CDBallGadget | 815 Gems (Ball Gadget) | True_()
CDBallGadget | 500 Gems (armored chest from firework after ball gadget) | Has('Fire Breath')
SREntry | 240 Gems (immediates) | True_()
SREntry | 125 Gems (critters and mer-gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRSwim | 475 Gems (underwater breakable stuff) | Has('Charge')
SRSwim | 50 Gems (blue crabs after second swim) | Or(Has('Electric Breath'), And(Has('Charge'), HasAny('Ice Breath', 'Double Jump')))
SRSwim | 125 Gems (mer-gnorc and critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRSwim | 2148 Gems (Sparx minigames) | True_()
SRSwim | 2588 Gems (immediates) | True_()
SRSwim | 1500 Gems (armored chests above whirlwinds) | HasAll('Glide', 'Fire Breath')
SRSwim | 397 Gems (immediates above whirlwinds) | Has('Glide')
SRSwim | 50 Gems (near light gem via invincibility swim) | InvincibilityGadget()
SRWallKick | 1500 Gems (firework above invincibility wall kick) | Has('Fire Breath')
SRWallKick | 50 Gems (mer-gnorcs above invincibility wall kick) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SRElectric | 606 Gems (immediates) | True_()
SRElectric | 150 Gems (dark shards above invincibility gadget) | Has('Glide')
SRInvincibility | 2241 Gems (immediates) | True_()
SRInvincibility | 1500 Gems (armored chests from firework after dark gem above invincibility) | Has('Fire Breath')
SRGlide | 900 Gems (immediates) | True_()
FVEntry | 25 Gems (baskets) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge', 'Double Jump')
FVEntry | 80 Gems (headbash) | Has('Double Jump')
FVElectric | 120 Gems (immediates) | True_()
FVElectric | 320 Gems (immediates under dark gem + eskimole under snowman) | Has('Double Jump')
FVElectric | 130 Gems (near light gem after floating platform) | HasAll('Water Breath', 'Double Jump')
FVDoubleJump | 100 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVDoubleJump | 40 Gems (middle armored gnorcs) | Has('Charge')
FVDoubleJump | 230 Gems (eskimoles and middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVDoubleJump | 50 Gems (baskets on ice you can't double jump to break) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge')
FVDoubleJump | 3837 Gems (Blink minigames) | True_()
FVDoubleJump | 1036 Gems (immediates) | True_()
FVWallKick | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVWallKick | 20 Gems (middle unarmored gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVWallKick | 271 Gems (immediates) | True_()
FVWallKick | 11 Gems (behind chargeable wall) | Has('Charge')
FVWallKick | 25 Gems (eskimole on small platform) | And(Has('Glide'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
FVWallKick | 630 Gems (immediates beyond the breakable cannon ball thing) | Has('Glide')
GGEntry | 2218 Gems (Sparx minigames) | True_()
GGEntry | 3413 Gems (everything in Gloomy Glacier) | True_()
ICEntry | 80 Gems (middle armored gnorcs) | Has('Charge')
ICEntry | 200 Gems (steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICEntry | 1525 Gems (firework chest + 3 armored chests) | Has('Fire Breath')
ICEntry | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICEntry | 180 Gems (middle unarmored gnorcs + archers) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICEntry | 75 Gems (3 baskets you can't double jump to reliably break) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge')
ICEntry | 1073 Gems (immediates) | True_()
ICWater | 400 Gems (steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICWater | 20 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICWater | 45 Gems (middle armored gnorcs + headbash behind chargeable wall) | Has('Charge')
ICWater | 60 Gems (yeti + middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICWater | 683 Gems (immediates) | True_()
ICWallKick | 225 Gems (steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICWallKick | 50 Gems (firework chest) | Has('Fire Breath')
ICWallKick | 25 Gems (ice monster) | Or(HasAny('Fire Breath', 'Electric Breath'), SuperchargeGadget())
ICWallKick | 80 Gems (huge armoed gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICWallKick | 20 Gems (huge unarmored gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICWallKick | 241 Gems (middle enemies + yeti) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICWallKick | 1630 Gems (Byrd minigames) | True_()
ICWallKick | 7075 Gems (immediates) | True_()
ICWallKick | 2115 Gems (supercharge stuff) | SuperchargeGadget()
ICBehindQueen | 20 Gems (huge armored gnorc) | Has('Charge')
ICBehindQueen | 60 Gems (gnorc archers) | True_()
ICReturnToFV | 4500 Gems (armored chests on the way) | True_()
FVEntry2 | 20 Gems (huge armored gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Ice Breath')
FVEntry2 | 1728 Gems (immediates + armored chests) | True_()
FVEastPoles | 40 Gems (huge gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Ice Breath')
FVLGDoorEntry | 180 Gems (immediates) | True_()
FVLGDoorEntry | 40 Gems (huge gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Ice Breath')
FVLGDoorEntry | 200 Gems (immediates past pole spin) | Has('Pole Spin')
FVLGDoorGlide | 370 Gems (immediates above ground) | True_()
FVLGDoorGlide | 225 Gems (swim under icy water) | And(Has('Swim'), InvincibilityGadget())
SBEntry | 80 Gems (middle armored gnorcs) | Has('Charge')
SBEntry | 350 Gems (dark shards) | HasAny('Charge', 'Double Jump')
SBEntry | 30 Gems (headbash chest) | Has('Double Jump')
SBEntry | 300 Gems (metal chests) | HasAny('Electric Breath', 'Charge', 'Double Jump')
SBEntry | 375 Gems (steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
SBEntry | 1000 Gems (2 armored chests via firework) | Has('Fire Breath')
SBEntry | 60 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
SBEntry | 140 Gems (middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SBEntry | 350 Gems (baskets) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge', 'Double Jump')
SBEntry | 263 Gems (on the ground) | True_()
SBEntry | 100 Gems (underwater by realm teleporter) | HasAll('Swim', 'Charge')
SBDoubleJump | 20 Gems (middle armored gnorc) | Has('Charge')
SBDoubleJump | 2500 Gems (armored chests) | Has('Fire Breath')
SBDoubleJump | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
SBDoubleJump | 40 Gems (gnorc archers and middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SBDoubleJump | 1414 Gems (immediates) | True_()
SBUpperCave | 40 Gems (gnorc archers by chest) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SBUpperCave | 60 Gems (immediates by chest) | True_()
MMEntry | 50 Gems (steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
MMEntry | 500 Gems (armored chest near the start via firework) | Has('Fire Breath')
MMEntry | 572 Gems (immediates) | True_()
MMEntry | 1500 Gems (armored chests near the start via supercharge) | SuperchargeGadget()
MMWaterIce | 400 Gems (rock monsters) | Has('Charge')
MMWaterIce | 25 Gems (initial gliding area firework chest) | Has('Fire Breath')
MMWaterIce | 40 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MMWaterIce | 20 Gems (middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMWaterIce | 20 Gems (huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
MMWaterIce | 886 Gems (Byrd minigames) | True_()
MMWaterIce | 1729 Gems (immediates) | True_()
MMPoleSpin | 930 Gems (chargeable walls and enemies) | Has('Charge')
MMPoleSpin | 60 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MMPoleSpin | 260 Gems (middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMPoleSpin | 25 Gems (headbash rock thing guarded by gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
MMPoleSpin | 5156 Gems (immediates) | True_()
MFtEntry | 25 Gems (firework chest behind chargeable wall) | HasAll('Charge', 'Fire Breath')
MFtEntry | 20 Gems (huge armroed gnorc behind chargeable wall) | HasAny('Fire Breath', 'Electric Breath', 'Ice Breath')
MFtEntry | 200 Gems (chargeable things) | Has('Charge')
MFtEntry | 525 Gems (firework chest and armored chest) | Has('Fire Breath')
MFtEntry | 40 Gems (huge armored gnorcs by ball gadget) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MFtEntry | 20 Gems (middle unarmored gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MFtEntry | 770 Gems (immediates) | True_()
MFBallGadget | 447 Gems (on ball gadget path) | True_()
MFbEntry | 40 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MFbEntry | 60 Gems (middle unarmored gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MFbEntry | 2392 Gems (Sparx minigames) | True_()
MFbEntry | 1098 Gems (immediates) | True_()
MFbEntry | 396 Gems (chargeable wall things) | Has('Charge')
DMEntry | 740 Gems (immediates) | True_()
DMEntry | 75 Gems (critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DMEntry | 60 Gems (drill robots) | HasAny('Electric Breath', 'Charge')
DMEntry | 100 Gems (behind chargeable wall things) | Has('Charge')
DMEntry | 150 Gems (spike robots and steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DMLGDoor | 520 Gems (huge robo gnorcs and steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DMLGDoor | 125 Gems (critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DMLGDoor | 350 Gems (underwater invincibility swimming) | And(HasAll('Swim', 'Charge'), InvincibilityGadget())
DMCharge | 20 Gems (huge robo-gnorc) | HasAny('Electric Breath', 'Ice Breath')
DMCharge | 1500 Gems (3 armored chests via firework) | Has('Fire Breath')
DMCharge | 550 Gems (immediates) | True_()
DMCharge | 70 Gems (immediates up the wall kick pistons) | Has('Wall Kick')
DMElectric | 12220 Gems (Blink minigames) | True_()
DMElectric | 1240 Gems (immediates) | True_()
DMIce | 931 Gems (immediates) | True_()
DMIce | 1500 Gems (3 armored chests by start) | Has('Fire Breath')
RLEntry | 1083 Gems (immediates) | True_()
RLSouthEast | 680 Gems (immediates) | True_()
RLSouthEast | 70 Gems (immediates above the furnace) | Has('Fire Breath')
RLNorthWest | 1119 Gems (immediates) | True_()
RLNorthEast | 560 Gems (immediates) | True_()
RLNorthEast | 155 Gems (immediates via invincibility) | True_()
RLSouthWest | 140 Gems (immediates) | True_()
